LONGITUDE,OWNER,YEAR,LATITUDE,TREATPLANT,TPSHORT,CLASS,TOTAL_PROD,RW_REUSED,CONTACT,RW_UNUSED,PERCNT_USE,OWNER_URL,RW_UNUSED_
147.4552118,East Gippsland Water,2023-24,-37.8094376,Lindenow treatment plant,Lindenow WWTP,B,18.9,11.9,egw@egwater.vic.gov.au,6.9,62.96296296296296,https://www.egwater.vic.gov.au/,5.22
149.74146,East Gippsland Water,2023-24,-37.57631,Mallacoota treatment plant,Mallacoota WWTP,C,150,128.9,egw@egwater.vic.gov.au,21.1,85.93333333333334,https://www.egwater.vic.gov.au/,17.76
147.81966,East Gippsland Water,2023-24,-37.86221,Metung treatment plant,Metung WWTP,C,180.9,186.8,egw@egwater.vic.gov.au,5.9,103.26147042564952,https://www.egwater.vic.gov.au/,38.2
147.60169,East Gippsland Water,2023-24,-37.08901,Omeo treatment plant,Omeo WWTP,C,38.5,42.3,egw@egwater.vic.gov.au,3.8,109.87012987012987,https://www.egwater.vic.gov.au/,7.41
148.46778,East Gippsland Water,2023-24,-37.6907,Orbost treatment plant,Orbost WWTP,C,262,225,egw@egwater.vic.gov.au,37,85.87786259541986,https://www.egwater.vic.gov.au/,35.8
147.64953,East Gippsland Water,2023-24,-37.9068,Paynesville treatment plant,Paynesville WWTP,C,514.9,376.8,egw@egwater.vic.gov.au,138.1,73.17925810837056,https://www.egwater.vic.gov.au/,190.2
145.8334444,Gippsland Water,2023-24,-38.13783207,Drouin treatment plant,Drouin WWTP,C,1181.5,168.9,ecodev@gippswater.com.au,1012.6,14.295544280013372,https://www.gippswater.com.au/,1006.16
146.8142344,Gippsland Water,2023-24,-37.96844662,Heyfield treatment plant,Heyfield WWTP,C,107.4,107.4,ecodev@gippswater.com.au,0,100,https://www.gippswater.com.au/,25.16
147.02119,Gippsland Water,2023-24,-37.96079,Maffra treatment plant,Maffra WWTP,C,239.9,158.8,ecodev@gippswater.com.au,81.2,66.17245057839118,https://www.gippswater.com.au/,40.87
146.1698756,Gippsland Water,2023-24,-38.4192723,Mirboo North treatment plant,Mirboo Nth WWTP,C,75,75,ecodev@gippswater.com.au,0,100,https://www.gippswater.com.au/,0
146.2672766,Gippsland Water,2023-24,-38.15910096,Moe treatment plant,Moe WWTP,C,2468.7,0,ecodev@gippswater.com.au,2468.7,0,https://www.gippswater.com.au/,0
146.3740636,Gippsland Water,2023-24,-38.23130303,Morwell treatment plant,Morwell WWTP,C,701,701,ecodev@gippswater.com.au,0,100,https://www.gippswater.com.au/,0
145.9563612,Gippsland Water,2023-24,-38.03963852,Neerim South treatment plant,Neerim South WWTP,C,61.9,0,ecodev@gippswater.com.au,61.9,0,https://www.gippswater.com.au/,0
146.4020997,Gippsland Water,2023-24,-37.96278773,Rawson treatment plant,Rawson WWTP,C,29.2,0,ecodev@gippswater.com.au,29.1,0,https://www.gippswater.com.au/,0
147.3098214,Gippsland Water,2023-24,-38.21874494,ROS/Dutson Downs treatment plant (1 of 2),ROS (Secondary),C,7944.9,0,ecodev@gippswater.com.au,7944.9,0,https://www.gippswater.com.au/,0
147.17986,Gippsland Water,2023-24,-38.15846,Sale treatment plant,Sale WWTP,C,1017.2,1017.2,ecodev@gippswater.com.au,0,100,https://www.gippswater.com.au/,0
147.15628,Gippsland Water,2023-24,-38.34546,Seaspray treatment plant,Seaspray WWTP,C,12.9,12.9,ecodev@gippswater.com.au,0,100,https://www.gippswater.com.au/,0
147.08713,Gippsland Water,2023-24,-37.9432,Stratford treatment plant,Stratford WWTP,C,56.5,56.5,ecodev@gippswater.com.au,0,100,https://www.gippswater.com.au/,34.13
147.1016816,Gippsland Water,2023-24,-38.44713123,SWOP treatment plant,SWOP,n/a,8249.2,0,ecodev@gippswater.com.au,8249.2,0,https://www.gippswater.com.au/,0
145.9547733,Gippsland Water,2023-24,-38.16353243,Warragul treatment plant,Warragul WWTP,C,2012.9,0,ecodev@gippswater.com.au,2012.9,0,https://www.gippswater.com.au/,0
146.17059,Gippsland Water,2023-24,-38.09386,Willow Grove treatment plant,Willow Grove WWTP,C,18.3,18.3,ecodev@gippswater.com.au,0,100,https://www.gippswater.com.au/,0
145.6886888,Goulburn Valley Water,2023-24,-37.19433592,Alexandra treatment plant,Alexandra,"B,C",252.1,37.8,mail@gvwater.vic.gov.au,214.3,14.994644769725095,https://www.gvwater.vic.gov.au/,115.85
145.22908,Goulburn Valley Water,2023-24,-36.8626,Avenel treatment plant,Avenel,C,38.6,12.6,mail@gvwater.vic.gov.au,26,32.64248704663213,https://www.gvwater.vic.gov.au/,11
145.83371297197615,Goulburn Valley Water,2023-24,-37.02425108292107,Bonnie Doon treatment plant,Bonnie Doon,C,33.9,33.9,mail@gvwater.vic.gov.au,0,100,https://www.gvwater.vic.gov.au/,6
145.0613,Goulburn Valley Water,2023-24,-37.16751,Broadford treatment plant,Broadford,C,349.8,46.8,mail@gvwater.vic.gov.au,303,13.379073756432247,https://www.gvwater.vic.gov.au/,192.4
145.63305,Goulburn Valley Water,2023-24,-35.88907,Cobram treatment plant,Cobram,C,350,350,mail@gvwater.vic.gov.au,0,100,https://www.gvwater.vic.gov.au/,0
145.8941015,Goulburn Valley Water,2023-24,-37.24190368,Eildon treatment plant,Eildon,B,163.9,62.2,mail@gvwater.vic.gov.au,101.8,37.91168577701878,https://www.gvwater.vic.gov.au/,69.01
145.54936,Goulburn Valley Water,2023-24,-36.7574,Euroa treatment plant,Euroa,"B,C",340.7,199.7,mail@gvwater.vic.gov.au,141,58.61461696507191,https://www.gvwater.vic.gov.au/,72.6
145.01153,Goulburn Valley Water,2023-24,-36.40548,Girgarre treatment plant,Girgarre,C,0,0,mail@gvwater.vic.gov.au,0,0,https://www.gvwater.vic.gov.au/,0
144.98183,Goulburn Valley Water,2023-24,-37.28009,Kilmore treatment plant,Kilmore,"B,C",650.9,447.7,mail@gvwater.vic.gov.au,203.2,68.77928862257048,https://www.gvwater.vic.gov.au/,208.69
145.0276,Goulburn Valley Water,2023-24,-36.30498,Kyabram/Merrigum treatment plant,Kyabram/Merrigum,C,630,360,mail@gvwater.vic.gov.au,270,57.14285714285714,https://www.gvwater.vic.gov.au/,78
146.07267,Goulburn Valley Water,2023-24,-37.03692,Mansfield treatment plant,Mansfield,"B,C",471.1,201.2,mail@gvwater.vic.gov.au,269.9,42.70855444703884,https://www.gvwater.vic.gov.au/,187.48
145.76003,Goulburn Valley Water,2023-24,-37.49455,Marysville treatment plant,Marysville,"B,C",95.3,95.3,mail@gvwater.vic.gov.au,0,100,https://www.gvwater.vic.gov.au/,0
145.35393,Goulburn Valley Water,2023-24,-36.34503,Mooroopna treatment plant,Mooroopna,C,24,24,mail@gvwater.vic.gov.au,0,100,https://www.gvwater.vic.gov.au/,98.8
145.18808,Goulburn Valley Water,2023-24,-36.62161,Murchison treatment plant,Murchison,C,0,0,mail@gvwater.vic.gov.au,0,0,https://www.gvwater.vic.gov.au/,0
145.20834,Goulburn Valley Water,2023-24,-36.79191,Nagambie treatment plant,Nagambie,C,85.9,18.5,mail@gvwater.vic.gov.au,67.4,21.54419471293816,https://www.gvwater.vic.gov.au/,40.07
145.1976413,Goulburn Valley Water,2023-24,-36.04444255,Nathalia treatment plant,Nathalia,C,97.6,97.6,mail@gvwater.vic.gov.au,0,100,https://www.gvwater.vic.gov.au/,4.6
145.46266,Goulburn Valley Water,2023-24,-36.09096,Numurkah treatment plant,Numurkah,C,227,189,mail@gvwater.vic.gov.au,38,83.25991189427313,https://www.gvwater.vic.gov.au/,16.6
145.1716798,Goulburn Valley Water,2023-24,-37.00982911,Seymour treatment plant,Seymour,C,611.7,362.7,mail@gvwater.vic.gov.au,249,59.29377145659637,https://www.gvwater.vic.gov.au/,198.2
145.3826727,Goulburn Valley Water,2023-24,-36.31854069,Shepparton treatment plant,Shepparton,"B,C",4919.6,2534.6,mail@gvwater.vic.gov.au,2385,51.52044881697698,https://www.gvwater.vic.gov.au/,2506.36
144.97901,Goulburn Valley Water,2023-24,-36.52985,Stanhope / Rushworth treatment plant,Stanhope/Rushworth,C,56,56,mail@gvwater.vic.gov.au,0,100,https://www.gvwater.vic.gov.au/,0
145.45864,Goulburn Valley Water,2023-24,-35.9179,Strathmerton treatment plant,Strathmerton,C,0,0,mail@gvwater.vic.gov.au,0,0,https://www.gvwater.vic.gov.au/,0
145.25042,Goulburn Valley Water,2023-24,-36.47677,Tatura treatment plant,Tatura,C,810,810,mail@gvwater.vic.gov.au,0,100,https://www.gvwater.vic.gov.au/,12.6
144.92428,Goulburn Valley Water,2023-24,-36.25917,Tongala treatment plant,Tongala,C,225,225,mail@gvwater.vic.gov.au,0,100,https://www.gvwater.vic.gov.au/,25.4
145.70792,Goulburn Valley Water,2023-24,-36.62561,Violet Town treatment plant,Violet Town,C,48.4,48.4,mail@gvwater.vic.gov.au,0,100,https://www.gvwater.vic.gov.au/,5
145.39576,Goulburn Valley Water,2023-24,-37.20231,Yea treatment plant,Yea,"B,C",102.8,41.8,mail@gvwater.vic.gov.au,61,40.66147859922179,https://www.gvwater.vic.gov.au/,3.72
142.95015,Grampians Wimmera Mallee Water,2023-24,-37.30487,Ararat treatment plant,Ararat,C,691.4,480.4,info@gwmwater.org.au,211,69,https://www.gvwater.vic.gov.au/,155.26
142.92987,Grampians Wimmera Mallee Water,2023-24,-35.96645,Birchip treatment plant,Birchip,C,70.6,44.7,info@gwmwater.org.au,25.9,63.31803501614822,https://www.gvwater.vic.gov.au/,0
143.33078,Grampians Wimmera Mallee Water,2023-24,-36.28009,Charlton treatment plant,Charlton,C,38.9,0,info@gwmwater.org.au,38.9,0,https://www.gvwater.vic.gov.au/,13.45
142.03892,Grampians Wimmera Mallee Water,2023-24,-36.46518,Dimboola treatment plant,Dimboola,C,84.9,40.6,info@gwmwater.org.au,44.3,47.817023331409665,https://www.gvwater.vic.gov.au/,43.98
142.98993,Grampians Wimmera Mallee Water,2023-24,-36.36423,Donald treatment plant,Donald,C,153.3,77,info@gwmwater.org.au,76.2,50.243058954030865,https://www.gvwater.vic.gov.au/,59.91
141.30986,Grampians Wimmera Mallee Water,2023-24,-37.01444,Edenhope treatment plant,Edenhope,C,58.2,1.67,info@gwmwater.org.au,56.6,2.867986742001408,https://www.gvwater.vic.gov.au/,16.01
141.4727762,Grampians Wimmera Mallee Water,2023-24,-36.71141935,Goroke treatment plant,Goroke,C,1.6,0,info@gwmwater.org.au,1.6,0,https://www.gvwater.vic.gov.au/,0.33
142.5494,Grampians Wimmera Mallee Water,2023-24,-37.10676,Halls Gap treatment plant,Halls Gap,C,185.2,84.4,info@gwmwater.org.au,100.8,45.58044608581564,https://www.gvwater.vic.gov.au/,87.59
142.3805,Grampians Wimmera Mallee Water,2023-24,-35.74785,Hopetoun treatment plant,Hopetoun,C,40.9,0,info@gwmwater.org.au,40.9,0,https://www.gvwater.vic.gov.au/,0
142.15343,Grampians Wimmera Mallee Water,2023-24,-36.74014,Horsham treatment plant,Horsham,C,1497.08,1184.1,info@gwmwater.org.au,313,79,https://www.gvwater.vic.gov.au/,284.94
141.99641,Grampians Wimmera Mallee Water,2023-24,-36.14722,Jeparit treatment plant,Jeparit,C,37.7,0,info@gwmwater.org.au,37.7,0,https://www.gvwater.vic.gov.au/,7.54
141.21327,Grampians Wimmera Mallee Water,2023-24,-36.29071,Kaniva North treatment plant,Kaniva North,C,13.9,0,info@gwmwater.org.au,13.9,0,https://www.gvwater.vic.gov.au/,0
141.16752,Grampians Wimmera Mallee Water,2023-24,-36.46023,Kaniva South treatment plant,Kaniva South,C,6.3,0,info@gwmwater.org.au,6.3,0,https://www.gvwater.vic.gov.au/,0
142.6036512,Grampians Wimmera Mallee Water,2023-24,-36.45463184,Minyip treatment plant,Minyip,C,20.9,0,info@gwmwater.org.au,20.9,0,https://www.gvwater.vic.gov.au/,0
142.46219,Grampians Wimmera Mallee Water,2023-24,-36.61926,Murtoa treatment plant,Murtoa,C,77.6,51.6,info@gwmwater.org.au,25.9,66.53342788988459,https://www.gvwater.vic.gov.au/,8.2
141.94994,Grampians Wimmera Mallee Water,2023-24,-36.72409,Natimuk treatment plant,Natimuk,C,21.7,0,info@gwmwater.org.au,21.7,0,https://www.gvwater.vic.gov.au/,4.33
141.64575,Grampians Wimmera Mallee Water,2023-24,-36.34768,Nhill treatment plant,Nhill,C,139.7,127.6,info@gwmwater.org.au,12.1,91.3398903348652,https://www.gvwater.vic.gov.au/,20.35
142.31075,Grampians Wimmera Mallee Water,2023-24,-35.06233,Ouyen treatment plant,Ouyen,C,110.1,0,info@gwmwater.org.au,110.1,0,https://www.gvwater.vic.gov.au/,0
141.90574,Grampians Wimmera Mallee Water,2023-24,-35.88369,Rainbow treatment plant,Rainbow,C,94.4,0,info@gwmwater.org.au,94.4,0,https://www.gvwater.vic.gov.au/,18.89
142.6410443,Grampians Wimmera Mallee Water,2023-24,-36.61771208,Rupanyup treatment plant,Rupanyup,C,37.1,1.9,info@gwmwater.org.au,35.2,5.067795239507237,https://www.gvwater.vic.gov.au/,0
142.87606,Grampians Wimmera Mallee Water,2023-24,-35.49015,Sea Lake treatment plant,Sea Lake,C,43.7,10,info@gwmwater.org.au,33.7,22.90530945073068,https://www.gvwater.vic.gov.au/,6.73
141.12179,Grampians Wimmera Mallee Water,2023-24,-36.44061,Serviceton treatment plant,Serviceton,C,0.5,0,info@gwmwater.org.au,0.5,0,https://www.gvwater.vic.gov.au/,0
143.26074,Grampians Wimmera Mallee Water,2023-24,-36.61266,St Arnaud treatment plant,St Arnaud,C,159.7,127.5,info@gwmwater.org.au,32.2,79.83593211847955,https://www.gvwater.vic.gov.au/,24.45
142.77676,Grampians Wimmera Mallee Water,2023-24,-37.05884,Stawell treatment plant,Stawell,C,640.8,640.8,info@gwmwater.org.au,0,100,https://www.gvwater.vic.gov.au/,-8.64
142.39263,Grampians Wimmera Mallee Water,2023-24,-36.26859,Warracknabeal treatment plant,Warracknabeal,C,261.7,144.9,info@gwmwater.org.au,116.8,55.38232259543735,https://www.gvwater.vic.gov.au/,36.19
142.7509,Grampians Wimmera Mallee Water,2023-24,-37.55889,Willaura treatment plant,Willaura,C,43.1,30.8,info@gwmwater.org.au,12.3,71.3920758047285,https://www.gvwater.vic.gov.au/,15.52
143.20023,Grampians Wimmera Mallee Water,2023-24,-35.9883,Wycheproof treatment plant,Wycheproof,C,40.2,0,info@gwmwater.org.au,40.2,0,https://www.gvwater.vic.gov.au/,8.05
144.791628,Greater Western Water,2023-24,-37.87288236,Altona treatment plant,Altona,"A,C",5669.3,1397.5,integratedplanning@gww.com.au,4271.9,24.649427618930027,https://www.gww.com.au/,3963.63
144.4694992,Greater Western Water,2023-24,-37.7281663,Parwan (Bacchus Marsh) treatment plant,Bacchus Marsh,C,1036.61,1034.9,integratedplanning@gww.com.au,1.8,100,https://www.gww.com.au/,15.88
144.6148207,Greater Western Water,2023-24,-37.48909692,Gisborne treatment plant,Gisborne,B,750,57.6,integratedplanning@gww.com.au,692.4,7.677333333333333,https://www.gww.com.au/,784.05
144.5866271,Greater Western Water,2023-24,-37.75615388,Melton treatment plant,Melton,"A,C",6191,3918.6,integratedplanning@gww.com.au,2272.4,63.29575189791633,https://www.gww.com.au/,2808.59
144.7173379,Greater Western Water,2023-24,-37.46585997,Riddells Creek treatment plant,Riddells Creek,C,124,77.2,integratedplanning@gww.com.au,46.8,62.27419354838709,https://www.gww.com.au/,76.1
144.7695558,Greater Western Water,2023-24,-37.36107043,Romsey treatment plant,Romsey,C,488.9,318.9,integratedplanning@gww.com.au,170,65,https://www.gww.com.au/,116.12
144.7425046,Greater Western Water,2023-24,-37.58587999,Sunbury treatment plant,Sunbury,B,2649,542.7,integratedplanning@gww.com.au,2106.3,20.488486221215556,https://www.gww.com.au/,2191.56
144.51514,Greater Western Water,2023-24,-37.33472,Woodend treatment plant,Woodend,C,291.1,41.5,integratedplanning@gww.com.au,249.6,14.810714285714285,https://www.gww.com.au/,275.47
143.9429321,Lower Murray Water,2023-24,-35.73494601,Kerang treatment plant,Kerang WWTP,C,619.4,45.9,contactus@lmw.vic.gov.au,573.5,7.405553761704875,https://www.lmw.vic.gov.au/,0
144.07926,Lower Murray Water,2023-24,-35.67035,Koondrook treatment plant,Koondrook WWTP,C,65,22.5,contactus@lmw.vic.gov.au,42.5,34.58461538461538,https://www.lmw.vic.gov.au/,79.61
142.0788565,Lower Murray Water,2023-24,-34.33151843,Koorlong treatment plant,Koorlong WWTP,C,2572.9,2202.8,contactus@lmw.vic.gov.au,370.1,85.61351004702864,https://www.lmw.vic.gov.au/,322.04
143.64764,Lower Murray Water,2023-24,-35.51871,Lake Boga treatment plant,Lake Boga WWTP,C,49.1,0,contactus@lmw.vic.gov.au,49.1,0,https://www.lmw.vic.gov.au/,0
142.06688,Lower Murray Water,2023-24,-34.15302,Merbein treatment plant,Merbein WWTP,C,0,0,contactus@lmw.vic.gov.au,0,0,https://www.lmw.vic.gov.au/,88.18
142.16038,Lower Murray Water,2023-24,-34.16643,Mildura treatment plant,Mildura WWTP,C,1334.4,806.7,contactus@lmw.vic.gov.au,527.7,60.45638489208633,https://www.lmw.vic.gov.au/,743.92
143.9536415,Lower Murray Water,2023-24,-35.53605132,Murrabit treatment plant,Murrabit WWTP,C,4.8,0,contactus@lmw.vic.gov.au,4.8,0,https://www.lmw.vic.gov.au/,0
143.38236,Lower Murray Water,2023-24,-35.16191,Nyah/Nyah West treatment plant,Nyah West WWTP,C,88.9,0,contactus@lmw.vic.gov.au,88.9,0,https://www.lmw.vic.gov.au/,0
142.80815,Lower Murray Water,2023-24,-34.61881,Robinvale treatment plant,Robinvale WWTP,C,318,210,contactus@lmw.vic.gov.au,107.9,66.0503144654088,https://www.lmw.vic.gov.au/,63.99
143.50162,Lower Murray Water,2023-24,-35.30982,Swan Hill treatment plant,Swan Hill WTP,C,1252,0,contactus@lmw.vic.gov.au,1252,0,https://www.lmw.vic.gov.au/,0
145.1760707,Melbourne Water,2023-24,-38.06302546,Eastern Treatment Plant,ETP,"A,C",164927,16634,enquiry@melbournewater.com.au,148293,10.085674268009482,https://www.melbournewater.com.au/,144474.4
144.6157958,Melbourne Water,2023-24,-37.98525359,Western Treatment Plant,WTP,"A,C",199046,30641,enquiry@melbournewater.com.au,168405,15.39392904152809,https://www.melbournewater.com.au/,172306.2
146.95816,North East Water,2023-24,-36.15058,Baranduda treatment plant,Baranduda,n/a,0,0,info@newater.com.au,0,0,https://www.newater.com.au/,121.63
146.6755831,North East Water,2023-24,-36.31835098,Beechworth treatment plant,Beechworth,C,314.9,62.5,info@newater.com.au,252.4,19.850115906131908,https://www.newater.com.au/,332.25
147.05906,North East Water,2023-24,-36.10272,Bellbridge treatment plant,Bellbridge,C,31.9,31.9,info@newater.com.au,0,100,https://www.newater.com.au/,0
145.95552,North East Water,2023-24,-36.51037,Benalla treatment plant,Benalla,C,757.1,593.1,info@newater.com.au,164,78.33896872358412,https://www.newater.com.au/,134.83
146.9375148,North East Water,2023-24,-36.70621976,Bright / Porepunkah treatment plant,Bright,C,410.5,1.1,info@newater.com.au,409.3,0.277723640615864,https://www.newater.com.au/,166.6
146.17407,North East Water,2023-24,-36.04401,Bundalong treatment plant,Bundalong,C,0,0,info@newater.com.au,0,0,https://www.newater.com.au/,0
